0.05, 0.1, -1.33209e-16, 0.1
0.05, 0.1, -2.66419e-16, 0.1
0.05, 0.1, -3.99628e-16, 0.1
0.05, 0.1, -5.32838e-16, 0.1
0.05, 0.1, -6.66047e-16, 0.1
0.05, 0.1, -7.99257e-16, 0.1
0.05, 0.1, -9.32466e-16, 0.1
0.05, 0.1, -1.06568e-15, 0.1
0.05, 0.1, -1.19888e-15, 0.1
0.05, 0.1, -1.33209e-15, 0.1
0.05, 0.1, -1.4653e-15, 0.1
0.05, 0.1, -1.59851e-15, 0.1
0.05, 0.1, -1.73172e-15, 0.1
0.05, 0.1, -1.86493e-15, 0.1
0.05, 0.1, -1.99814e-15, 0.1
0.05, 0.1, -2.13135e-15, 0.1
0.05, 0.1, -2.26456e-15, 0.1
0.05, 0.1, -2.39777e-15, 0.1
0.05, 0.1, -2.53098e-15, 0.1
0.05, 0.1, -2.66419e-15, 0.1
0.05, 0.1, -2.7974e-15, 0.1
0.05, 0.1, -2.93061e-15, 0.1
0.05, 0.1, -3.06382e-15, 0.1
0.05, 0.1, -3.19703e-15, 0.1
0.05, 0.1, -3.33024e-15, 0.1
0.05, 0.1, -3.46344e-15, 0.1
0.05, 0.1, -3.59665e-15, 0.1
0.05, 0.1, -3.72986e-15, 0.1
0.05, 0.1, -3.86307e-15, 0.1
0.05, 0.1, -3.99628e-15, 0.1
0.05, 0.1, -4.12949e-15, 0.1
0.05, 0.1, -4.2627e-15, 0.1
